"Franzoesisch","Deutsch"
"le dessin (m)","die Zeichnung"
"la tete (f)","der Kopf"
"le dessin","die Zeichnung"
"un ennui (m)","der Aerger"
"la honte (f)","die Scham"
"le coeur (m)","das Herz"
"quand (adv)","wann"
"a deux (loc)","zu zweit"
"joyeux/joyeuse (adj)","froehlich"
"triste (adj)","traurig"
"la timidite (f)","die Schuechternheit"
"timide (adj)","schuechtern"
"a fond (loc)","auf vollen Touren"
"heureux/heureuse (adj)","gluecklich"
"malheureux/malheureuse (adj)","ungluecklich"
"le theme (m)","das Thema"
"le journal (m)","das Journal"
"Tintin (m)","Tim"
"le juge (m)","der Richter"
"le reporter (m)","der Reporter"
"le voyage (m)","die Reise"
"le monde (m)","die Welt"
"le cours (m)","der Kurs"
"la licence (f)","das Einhorn"
